x,y
44.7047310,-24.5466919
-46.3492661,36.3940468
20.3944340,9.56295776
-43.7108040,-25.4677486
-24.9620285,-13.4893007
-20.9395294,39.1411095
44.7750740,29.0040035
-11.1762447,48.9973946
41.1704330,30.5253696
-4.25331736,47.3500519
-49.2251015,16.3085957
-4.62354803,24.4023590
-17.9424839,-6.15893841
-44.7421417,-3.27850628
-14.1677294,20.8882427
-33.0450020,47.8490486
-41.4994507,-10.1663189
-19.5334892,28.2967815
4.86081171,0.706445694
14.6925058,44.6741791
45.9294434,-29.4344788
27.9580936,32.9380836
-5.27654219,3.72168779
32.6669388,45.3807030
-23.9253635,23.8445110
4.55753374,11.9455595
11.7550974,-27.6828842
-42.0714531,-2.19928670
44.3182564,46.9282722
39.2232208,44.4014931
9.82433796,0.119693391
19.8906746,-29.2493687
-40.9135780,16.1723919
-26.5432262,9.97650146
46.1530876,-11.3362284
-2.83929110,8.00841141
26.3173409,4.28917599
-42.0994759,-14.4889002
34.0509758,-10.3469563
-18.6780109,-11.4929199
-27.4656868,-12.2986374
1.17547894,-44.7547531
39.2435417,-45.1946106
-1.21427047,-9.94355774
49.0476990,46.6688957
26.9668312,0.144653589
31.3776245,44.4726791
29.7089882,40.9109154
4.76678658,34.7838440
8.46759510,-26.1082706
35.5977020,10.2378254
-38.0502129,-23.4874668
-46.0712547,-9.49356651
34.3296890,36.3947487
13.9121637,-37.7405319
22.3853645,29.7298641
37.3834877,2.76507950
45.5474548,43.8195419
38.2884293,12.7095613
46.4233894,-13.7968254
-38.5440216,-16.7783031
21.1015167,-37.5673370
-9.95843887,-14.7505188
27.0063477,-44.5077095
-49.0733414,-19.1139488
-32.9602242,-37.4808769
-8.34634304,-18.2590313
-6.86114550,7.57344151
4.56850624,-6.74959040
28.2372284,45.7706795
24.1375198,-37.5499611
-35.7025185,-29.8401451
-20.3470707,-44.2937355
-31.2318916,38.0542793
-9.93762970,4.84558010
-28.3124752,38.3240242
-16.8039474,-31.5292435
-15.4061756,-2.59972906
-44.1593513,14.9988251
10.6382952,-5.64409685
-35.5436134,18.2906990
6.99692917,-23.1700783
15.3127098,-27.3545647
17.6559219,-20.6631985
-44.0820007,7.51062250
-35.7588501,6.25559902
-41.3122406,26.0422707
-8.13797283,-12.6423712
16.2184944,37.8994370
-13.4584589,-24.7316589
-9.59679794,19.5138721
-0.466411531,5.67101479
33.2127342,33.4129753
13.4268456,-45.2428169
-29.1088200,-27.5363102
45.1930733,47.4384766
41.8346367,-17.6730175
-38.4478951,12.3113480
44.0536957,-33.2322121
33.6119576,22.8225632
-46.6957970,18.7239723
-12.3436613,1.23443341
-26.9532394,-46.1100655
49.0256996,-16.7641506
3.99012995,15.6100607
7.89452982,-41.6321526
18.8241653,7.24927044
36.6855125,-0.384736806
41.3851089,-10.1223469
32.7597008,-16.5257931
7.06902504,12.9901676
-2.02810693,1.31422615
-42.1266632,28.7362213
1.04439676,18.4924831
11.9780407,18.2818718
-37.6889648,33.2795753
-36.4628525,-1.92205846
-25.0563335,40.8980255
8.19529915,-15.2542763
-2.51621294,28.8141327
49.2421951,-18.9972229
-16.1135387,47.3146019
27.1761818,37.4887238
14.0015793,-25.4534550
32.7711906,-13.7500219
26.6570091,27.3736210
-16.9189911,-37.9455376
29.7356110,42.2310562
-42.9115181,33.8595619
